CMDLINE python C:\Users\2acffb24\Downloads\result\sort_sc.py
MEM 1.910156 1715320822.4340
MEM 11.769531 1715320822.5346
MEM 11.824219 1715320822.6351
MEM 11.824219 1715320822.7356
MEM 11.824219 1715320822.8361
MEM 11.824219 1715320822.9364
MEM 11.937500 1715320823.0369
MEM 11.937500 1715320823.1372
MEM 11.937500 1715320823.2375
MEM 11.937500 1715320823.3380
MEM 11.937500 1715320823.4384
MEM 11.937500 1715320823.5388
MEM 11.937500 1715320823.6393
MEM 11.937500 1715320823.7399
MEM 11.937500 1715320823.8406
MEM 11.964844 1715320823.9411
MEM 11.964844 1715320824.0418
MEM 11.964844 1715320824.1425
MEM 11.964844 1715320824.2431
MEM 11.964844 1715320824.3439
MEM 11.964844 1715320824.4442
MEM 11.964844 1715320824.5447
MEM 11.964844 1715320824.6450
MEM 11.964844 1715320824.7457
MEM 11.964844 1715320824.8461
MEM 11.964844 1715320824.9467
MEM 11.964844 1715320825.0471
MEM 11.964844 1715320825.1474
MEM 11.964844 1715320825.2477
MEM 11.964844 1715320825.3486
MEM 11.964844 1715320825.4491
MEM 11.964844 1715320825.5494
MEM 11.964844 1715320825.6499
MEM 12.113281 1715320825.7503
MEM 12.113281 1715320825.8507
MEM 12.113281 1715320825.9512
MEM 12.113281 1715320826.0519
MEM 12.113281 1715320826.1525
MEM 12.113281 1715320826.2531
MEM 12.113281 1715320826.3538
MEM 12.113281 1715320826.4543
MEM 12.113281 1715320826.5547
MEM 12.113281 1715320826.6551
MEM 12.113281 1715320826.7556
MEM 12.113281 1715320826.8562
MEM 12.113281 1715320826.9565
MEM 12.113281 1715320827.0570
MEM 12.113281 1715320827.1574
MEM 12.113281 1715320827.2580
MEM 12.113281 1715320827.3586
MEM 12.113281 1715320827.4591
MEM 12.113281 1715320827.5595
MEM 12.113281 1715320827.6605
MEM 12.113281 1715320827.7608
MEM 12.113281 1715320827.8613
MEM 12.113281 1715320827.9619
MEM 12.113281 1715320828.0623
MEM 12.113281 1715320828.1629
MEM 12.113281 1715320828.2634
MEM 12.113281 1715320828.3638
MEM 12.113281 1715320828.4646
MEM 12.226562 1715320828.5651
MEM 12.226562 1715320828.6655
MEM 12.226562 1715320828.7658
MEM 12.226562 1715320828.8663
MEM 12.226562 1715320828.9669
MEM 12.226562 1715320829.0671
MEM 12.226562 1715320829.1677
MEM 12.226562 1715320829.2682
MEM 12.226562 1715320829.3688
